method_label,buffer,acc_mean,acc_std,forget_mean,forget_std
Reservoir + Entropy-priority,10,0.14914,0.028824347347338145,0.53864,0.02529699586907506
Reservoir + Entropy-priority,20,0.12788,0.024228640077396005,0.5569,0.03897537684230911
Reservoir + Entropy-priority,50,0.13312,0.025312684567228343,0.5533399999999999,0.022631239471138133
Reservoir + Entropy-priority,100,0.1299,0.01571193813633443,0.55794,0.013140700133554492
Reservoir + Entropy-priority,200,0.1421,0.011097296968181042,0.54998,0.02588410709296344
Reservoir + IG-priority,10,0.13994,0.030693533520922602,0.5293,0.015667003542477465
Reservoir + IG-priority,20,0.12654,0.02597620064597592,0.54762,0.02428758942340719
Reservoir + IG-priority,50,0.1398,0.03333706645762341,0.5418000000000001,0.02148173642888302
Reservoir + IG-priority,100,0.15655999999999998,0.02701588421651233,0.5357000000000001,0.02303562458454294
Reservoir + IG-priority,200,0.14967999999999998,0.014642472468814833,0.54634,0.02359858046578227
Reservoir + Uniform,10,0.1522,0.015210358312676269,0.5383,0.02114982269429231
Reservoir + Uniform,20,0.14776,0.0191804066693071,0.5308400000000001,0.014951521661690507
Reservoir + Uniform,50,0.1487,0.024918968678498715,0.56416,0.009193911028501396
Reservoir + Uniform,100,0.14892,0.02018160053117691,0.5576000000000001,0.011668975961925707
Reservoir + Uniform,200,0.13198,0.018786351428630308,0.5649599999999999,0.009433610125503361
